Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link;;;
WiredPeople; Senior .NET Developer; 51-64/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IldKUW93QWszYVN4SXR4TkE1MHNfSkEiLCJtYXRjaF9pZCI6IjAxOWQ3NDRkLWIzZGMtN2ViZC1iNjkzLTQyNTZkZDQ2MjBmOCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFIeWVZS3VFS0diWnl6NThLa0pDYlhvSTVlMlVQalp6aGZxdV9lRjhyTmpNeUFLZ2FJd0dYWUdlbUczQ1psb0M2c053WlUiLCJzb3VyY2VfcGxhY2VtZW50X2lkIjo0MzAyNH0=?tsid=111000153;;;
Vitaver & Associates, Inc; Lead .Net Developer (Remote); 56-73/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IlV3OThDWlBHeS1LX3NUY21kSGF6RUEiLCJtYXRjaF9pZCI6IjAxOWQ3NDRkLWIzZGMtN2ViNC1hODhjLTMyMzFlZWQyN2FkNCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFIdWNra0RzWXRwZW5DX0x4QkRJT2RrWE5KVFc2MjVob3JoOW1fYjcyQzY1S1lIVDZteDNDRXBYOUpncnRmWXlJemhteklJIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
Droisys; NET Developer; 46-61/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IlRrT3hORFQzQ3QyR0NYN0dVdjhrR1EiLCJtYXRjaF9pZCI6IjAxOWQ3NDRkLWIzZGMtN2VjOC1hNTY4LTQ5YmNhOTAzMzIxMCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFHSEZobjZXMjlDNElCNmRBYk9DVm1JREpxcURjRDNKRzNKWlhHZE5ZVkI2SlpCQnBfSUJxdnJtNU1yb21KZWs0M1BrdDQwIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
Procom Services; 208297 / .NET Developer; ;4/10/26;Open;4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6Ik53TkJTOGV2WHNvazNKWE1ZZnhZdGciLCJtYXRjaF9pZCI6IjAxOWQ3NDRkLWIzZGMtN2VjZC04ZDI1LWM5MzFjYmY1NTIzMSIsImJpZF90cmFja2luZ19kYXRhIjoiQUFISk9DN2dVZEpNaV9UN1NxLURmYW9RY2cyaV9mczR2TUtaaHFQR1F4SVZDLXV4YXo1UTEtZG9DNUluM1J1TXM2bW0wTF9MIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
Arete Technologies Inc.; .Net Application Developer; ; 4/13/26;Open; 4/13/26;; https://jobs.smartrecruiters.com/AreteTechnologiesInc/743999653423150--net-application-develeoper?utm_source=ziprecruiter;;;
Lumen; Sr. Software Engineer 341799; 82-110k; 4/13/26; Rejected; 5/13/2026;; https://www.glassdoor.com/job-listing/sr-software-engineer-lumen-technologies-JV_KO0,20_KE21,39.htm?jl=1010094545635&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos11-agept-1010094545635&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlpso1t1gbnd800-bceddb1a8f25fd27&cs=1_5b870e56&s=224&t=JA&pos=111&ja=396299206&guid=0000019d73b14b67a730bc047b6bbae7&jobListingId=1010094545635&vt=e&cb=1775764244710&ctt=1775848607169&srs=EMAIL_JOB_ALERT&gdir=1;;;
Verint; Sr. Engineer, Software; ; 4/13/26;Open; 4/13/26;; https://www.glassdoor.com/job-listing/sr-engineer-software-verint-systems-JV_KO0,20_KE21,35.htm?jl=1010095567316&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos12-agejp-1010095567316&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlpso1t1gbnd800-b6dcaf8ffd85fd5d&cs=1_5f850d05&s=224&t=JA&pos=112&ja=396299206&guid=0000019d73b14b67a730bc047b6bbae7&jobListingId=1010095567316&vt=e&cb=1775764244711&ctt=1775848609571&srs=EMAIL_JOB_ALERT&gdir=1;;;
FEI Systems; Senior Full Stack Developer (Remote); 100-120k; 4/13/26;Open; 4/13/26;; https://jobright.ai/jobs/info/69d80f17869c7e25d859385e?utm_source=1121&imp_id=3673496432511879909__instant_push__1775768175063_8135&utm_medium=email;;;
System Automation Corporation; Solution Developer; 90135k; 4/13/26;Open; 4/13/26;; https://jobright.ai/jobs/info/69a9e2011f59c56275e2a06f?utm_source=1121&imp_id=3673496432511879909__instant_push__1775768175063_8135&utm_medium=email;;;
Amer Technology, Inc.; Senior application Developer (.Net); ; 4/13/26; Rejected; 5/13/2026;; https://jobright.ai/jobs/info/69d7d2b3869c7e25d859172c?utm_source=1121&imp_id=3673496432511879909__instant_push__1775768175063_2857&utm_medium=email;;;
Global Tax Network; Senior Software Developer III; 115-140k ; 4/13/26;Open; 4/13/26;; https://www.glassdoor.com/job-listing/senior-software-developer-iii-global-tax-network-JV_KO0,29_KE30,48.htm?jl=1010093338505&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos2-age1d-1010093338505&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlq1caukiuei806-4a0eee380bdedd6c&cs=1_28df6f52&s=224&t=JA&pos=102&ja=380629936&guid=0000019d73b185f5846a277321f1f6a7&jobListingId=1010093338505&vt=e&cb=1775769103600&ctt=1775848762535&srs=EMAIL_JOB_ALERT&gdir=1;;;
Deltek; Senior Software Developer; 72-127k; 4/13/26;Open; 4/13/26;; https://www.glassdoor.com/job-listing/senior-software-developer-deltek-JV_KO0,25_KE26,32.htm?jl=1010095642803&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos10-agejp-1010095642803&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlq1caukiuei806-6027a1302e06da80&cs=1_981db845&s=224&t=JA&pos=110&ja=380629936&guid=0000019d73b185f5846a277321f1f6a7&jobListingId=1010095642803&vt=e&cb=1775769103601&ctt=1775848787363&srs=EMAIL_JOB_ALERT&gdir=1;;;
Kforce Technology Staffing (Armonk, NY); Full Stack Developer; 45-48/hr; 4/16/26;Open; 4/16/26;; https://www.dice.com/job-detail/a5fc2b0c-70a2-4abf-ac71-0af455c631c1;;;
Cotiviti; Staff Engineer I; 140-170k; 4/13/26; Rejected; 5/13/2026;; https://www.indeed.com/viewjob?jk=a79a67c3cdfacc48&tk=1jlq0i4gvg3h2800&from=serp&vjs=3;;;
FinOps Blueprint; Senior .NET Developer (Platform Modernization & Support); 60-85/hr; 4/13/26;Open; 4/13/26;; https://www.indeed.com/viewjob?jk=880dd40b384da0e7&q=C%23+Developer&l=Knoxville%2C+TN&tk=1jlpjsc5bmt19800&from=ja&alid=5f7346a0a81aa31a03e86f8a&xpse=SoDy67I3l8IZD_y-9B0LbzkdCdPP&xfps=1134150d-ae71-4e6d-a05f-89e70d3a4fe7&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jlpjsc5bmt19800&xkcb=SoDC67M3l5gGIvTPnB0CbzkdCdPP;;;
Clara IT Systems; Dotnet Developer; ; 4/13/26;Open; 4/13/26;; https://jobright.ai/jobs/info/69d7ef86f4ea471a51fe28ac?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775759795087_4949&utm_medium=email;;;
Lantana Consulting Group; Senior Software Engineer; 135-155k; 4/13/26; Rejected; 5/13/2026;; https://jobright.ai/jobs/info/69d7ef86f4ea471a51fe28ac?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775759795087_4949&utm_medium=email;;;
CES; Senior AI Native Backend Developer - #3071; ; 4/13/26;Open; 4/13/26;; https://jobright.ai/jobs/info/69d783b9e63cea7a8b672322?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775759795087_4949&utm_medium=email;;;
Municipal Credit Union; Senior Software Developer; 106-150k; 4/13/26;Open; 4/13/26;; https://jobright.ai/jobs/info/69d7e4fe869c7e25d859216d?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775759795087_4949&utm_medium=email;;;
Pilot/Flying J; Developer II, Enterprise Applications; ; 4/13/26;Open; 4/13/26;; https://www.glassdoor.com/job-listing/developer-ii-enterprise-applications-pilot-company-JV_IC1144394_KO0,36_KE37,50.htm?jl=1010088330395&cs=1_661e4cde&s=350&t=REC_JOBS&pos=104&src=GD_JOB_AD&guid=0000019d88c5c42f942f54221475e7e9&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&jobListingId=1010088330395&ao=1136043&vt=e&jrtk=5-yul1-1-1jm4cbh39gmu880a-0b971b044b4315d7&cb=1776116156247&ctt=1776116213105;;;
Confidential; Senior Application Programmer; 85-118; 4/14/26; Rejected; 5/13/2026;; https://www.indeed.com/viewjob?jk=1014082a33b9dad2&tk=1jm59us7km6es801&from=jobi2a&advn=2715527931820608&adid=445691966&ad=-6NYlbfkN0BFtEjsA8KW36VO-I2kY-FiiF7awyMg5DKM8alybE-Ds9wvbboCrwOFKvrzpbVQLZl4AqbX0rJRSyUTtsMQp3UBCu7jGWocDOiDw4wMWCeGKIKMQj6MLYBSY4FbL__3Yrl_VucxEA26yl4166xtoUHWNXUuhTiRK3vll1OjoBKnV5P5AiU8xZTv3xBUbi-Au_d_9zEOeyiYMaE6-Bww5D9rAImoXHUq20WiLjXgTJDdIZ7uTfZULpYYngv1PzeOfQcsjiROTOfrePkvSWbbkgg2IFnKYn-PNr8cW-ciYaoLKfyWLQ6axCoIB2fZk13cPk__rqXIvJjTZwSsD_TtjAhIVJoEOFp84F6uxeesBMh1Qwpyw-uNRo0v9vpY3003shA42e1_BfQoWjO7H-NfcEPfGz8wP-E0wyQn30zMuHAFOZLiV_zj_UIP4McTPfKQcw6mW1QjJcVu_g70rK9jlvRyry3KkT5s6oDTMbEoQYMH3p4GBG5PjWBHoW2GOm-ErZDnhx1O45GuShcLfc9Xgi6mXtQUL-SZmzxvA2Qf22kPQIqsJyXzktFSqfC50UGR14An5xP0jMuy20nwKxpVaNt8awy-PAmQjCBc-00053HkyU1ZfNMHmHo8&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=ethIe0s0heeLA9uU8hjzGw%3D%3D&jrtk=5-cmh1-1-1jm59uq8do717805-1014082a33b9dad2&xkcb=SoD86_M3kFb0Si0ZVR0IbzkdCdPP&xpse=SoAi6_I3kF2hSKSCIB0MbzkdCdPP&xfps=f4fb337b-73b4-4eec-9bf1-255a911a25b2;;;
Availity; Software Engineer IV; ; 4/14/26; Rejected; 5/13/2026;; https://www.glassdoor.com/job-listing/software-engineer-iv-availity-JV_KO0,20_KE21,29.htm?jl=1010099025377&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos5-agept-1010099025377&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm4ksak8kgp7807-14c2185fb556c64e&cs=1_4f35cfb3&s=224&t=JA&pos=105&ja=388890994&guid=0000019d88eef2089df36feca4ffb25d&jobListingId=1010099025377&vt=e&cb=1776125094745&ctt=1776169842575&srs=EMAIL_JOB_ALERT&gdir=1;;;
Baylor Genetics; Sr Software Engineer; ; 4/14/26;Open; 4/14/26;; https://www.linkedin.com/jobs/view/4401016171/?trackingId=zsp1DwEuWBU2lCICWI5asw%3D%3D&refId=RI6oWFvr53Uiy%2Bt116RufQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=10nROPaqSsIcc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_15257593108_fmid_mw6pip~mnxq4uj6~2d&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_15257593108_fmid_mw6pip~mnxq4uj6~2d-null-mw6pip~mnxq4uj6~2d-null-null&eid=mw6pip-mnxq4uj6-2d&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjU4ZWM4ZDg0OTljYWY4ZTZjN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmOWYzZGE3MDk5ZWRhMDM5ZjhlYjgxNTBiYzBmOWZiN2RjYWI2Yjc3YWM3OWNkNDcsMSwx;;;
CData Software; Software Engineer III; ; 4/14/26; Rejected; 5/14/2026;; https://www.linkedin.com/jobs/view/4401016171/?trackingId=zsp1DwEuWBU2lCICWI5asw%3D%3D&refId=RI6oWFvr53Uiy%2Bt116RufQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=10nROPaqSsIcc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_15257593108_fmid_mw6pip~mnxq4uj6~2d&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_15257593108_fmid_mw6pip~mnxq4uj6~2d-null-mw6pip~mnxq4uj6~2d-null-null&eid=mw6pip-mnxq4uj6-2d&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjU4ZWM4ZDg0OTljYWY4ZTZjN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmOWYzZGE3MDk5ZWRhMDM5ZjhlYjgxNTBiYzBmOWZiN2RjYWI2Yjc3YWM3OWNkNDcsMSwx;;;
Rex.zone; Software Engineering Jobs; 30-50/hr; 4/14/26;Open; 4/14/26;; https://www.linkedin.com/jobs/view/4388386805/?trackingId=Ov69IzKzWIjosVh3XFQU1w%3D%3D&refId=5Cm%2F0ntb7HHmnnUypuJMag%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2gWYP5INeIHYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4388386805_ssid_14583149764_fmid_mw6pip~mnxhk7k0~99&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4388386805_ssid_14583149764_fmid_mw6pip~mnxhk7k0~99-null-mw6pip~mnxhk7k0~99-null-null&eid=mw6pip-mnxhk7k0-99&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjU4ZmNjZDU0MTlkYTY4ZDZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZmQ4ZDM2M2FkYzk5OTIyMGIwMmZjMWE1YzQ5MTY1OTc4YWZiMjJjNmE0MGY4ZDYsMSwx;;;
Wellbe Senior Medical; Software Engineer; 90-125k; 4/14/26;Open; 4/14/26;; https://www.indeed.com/viewjob?jk=b86e50f9594a2dce&tk=1jm0v8lvng3h584s&from=serp&vjs=3;;;
Mutual of Omaha; Software Engineer (Mainframe); 115-130k; 4/14/26;Open; 4/14/26;; https://www.indeed.com/viewjob?jk=53bdb378938e8608&tk=1jm0v8lvng3h584s&from=serp&vjs=3;;;
Yo IT Consulting; C# Developer - Remote; ; 4/14/26;Open; 4/14/26;; https://www.glassdoor.com/job-listing/c-developer-remote-yo-it-consulting-JV_KO0,18_KE19,35.htm?jl=1010098581158&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-agept-1010098581158&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm4ib2tbjn1b80c-36c0c1c064f8c56c&cs=1_14f67496&s=224&t=JA&pos=108&ja=402221199&guid=0000019d88b8634bba7bcb9899aa02de&jobListingId=1010098581158&ea=1&vt=e&cb=1776122432719&ctt=1776124996540&srs=EMAIL_JOB_ALERT&gdir=1;;;
Knoxville Utilities Board (KUB); Business Analyst; 52-94k; 4/14/26;Open; 4/14/26;; https://www.glassdoor.com/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_term=jfytspvar2&utm_content=jobs-for-you-jobsForYou-jobpos2-age5d-1010094337017&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-1-1jm619fpsk3e0804-fa0c8c04e816ea2d&cs=1_d4caecf9&s=362&t=REC_JOBS&pos=102&guid=0000019d84742b38aa76b471de77159d&jobListingId=1010094337017&rdforyou=true&vt=e&cb=1776171663968&gdir=1;;;
Premier Staffing Partners; Full Stack Software Developer - .NET; 50-65/hr; 4/14/26;Open; 4/14/26;; https://www.indeed.com/viewjob?jk=c9f2e717e9f78607&q=C%23+Developer&l=Knoxville%2C+TN&tk=1jm6e3j0v2h44000&from=ja&advn=4544295491369246&adid=420254836&ad=-6NYlbfkN0CyyT-f4oNMZz8hL4LR6EcDrl5vB12i7SyJpvAxFYk5EXt1c1v4wP1uHbDArtG7vmwti4oBuXKQB-l4tsCCYaUX-aNF9zVjv8AdFfGNoznGkDL07vYYNKPPj7n9fDrv09mntTr1A9FFEI1hqw1yDTi0Afi5qwmrLXeT7AsJap9KHfrkBnDhXEq9oQc9xjsrjJ-QWZ0SefGe8viQ2C9UZOSgkiEHf8Fqpw66mD5HU7qqsuwzhIbcKR-krbxolv_Lgo6F_PlyyIOdt7dygN5FwCvI_rnncwbneU7faC80o1RL9588oUkIq6LRNA--R0s9u0ELxOkZV185r6A7tVjEyRgJiP4USCid-FXn7YGQJsgLjG7Crxnpf6stRAZvrjGu8nXAFxZy1XgqBpiAb3mHWSbTY9FDYIs2CXIsKJpypuSVs7SIdN63yD_tIEvSWYeQ0kj1tGRkn9A_Z8Yz01RUMp9BdNOOL3QdJtlNaliR-3mznEWtFvQxwmYuSSq6KZS2jXDDc6_9JtW9MZdzhg6O2KynQA6RvkguxEa3ySYigJyj7X7pw5-QlLRrJnJkFYF0iLGDdPZ_1Ws63BpystIAJkUxHp-EaacU9bQ%3D&alid=5f7346a0a81aa31a03e86f8a&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&camk=4HOcmqOLYrB-Hq-JC3Bruw%3D%3D&xkcb=SoAb6_M3kGUBojWnMx0TbzkdCdPP&xpse=SoAY6_I3kG66JhgRHb0PbzkdCdPP&xfps=6727281b-5a34-41a7-ae54-3b002c31cb3a&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails;;;
ProTech Solutions, Inc; Network/Server Engineer; 65-75/hr; 4/14/26; Rejected; 5/14/2026;; https://www.indeed.com/viewjob?jk=3ceeae5e631fa5ea&tk=1jm6jq04libko801&from=jobi2a&advn=7245905907864258&adid=460511585&ad=-6NYlbfkN0Dmv5qYPuM71RCMc7AE4gm0Y8iISZ3g9ah2em726xhmV26-9ru545T-x5wncx4_ZHTWZK0g_FvzDGDJ1nssd98Zr5nkR0sa4oTo55Z9AYqw3_rGgtRdJLJb4WH6ECteUzT73aY5JuAvxHi1yysjYLw7fpDnx9hrSvxZ-5XM_tM2JdBHNixjl7A_VcthdGX2aamYiQ3msBJF-BU8VIopS6qSTfHBxyBjyVHEoZjDyJT4yt8-8oy7h2XjXfaWFitdPRDSYpj4NxofdWvU749p9vqIEtdtsdukvIsh2RCZiWVxOX6jPbtKDcDtvmT3QAwp2o-pFWU_W74AInZXlfYG9MTP91O8cigKGv0meCdzfb5DvQ-HZDQkJ2kCeCJJTrTVfDlOoXCNxo9K8SDF4sOQiPpvRwmoEHjZ6sf0KaUj0vDRFVzRJvZmStqdlsebZiPPzQk2kX55BBDT3Xl6ApEqA_TfRBQn8qFCecEqBt1g6cr-tp20fu8-9kq-kHde-05tNYV1YdrSis4pIgnmu5yRbgh3ea47lPlOJSTX_1sA2ZbhVniLnjZV3faY&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-US_email&camk=C3EPSzFlQw9wCRegj2HW1A%3D%3D&xkcb=SoBb6_M3kGvn7r0CC50CbzkdCdPP&xpse=SoCX6_I3kG7XcRSESJ0NbzkdCdPP&xfps=7f4f1cde-d3f6-44f9-ae24-218e25abe826;;;
LLH (Live Life Healthy) Healthcare; .Net Developer (requisition Id 1034); 105-120k ; 4/14/26;Open; 4/14/26;; https://jobright.ai/jobs/info/69de92d6aba61f14173162d6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1776196326522_5298&utm_medium=email;;;
SAIC; Senior Full Stack .Net Developer; 80-120k; 4/14/26; Rejected; 5/14/2026;; https://jobright.ai/jobs/info/69de5c2318cf504166e2c9a2?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1776196326522_5298&utm_medium=email;;;
OEC; Senior .NET Software Engineer; ; 4/14/26; Rejected; 5/14/2026;; https://jobright.ai/jobs/info/69de853d36823d1b4258170e?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1776196326522_5298&utm_medium=email;;;
Bitwarden; Senior Full Stack Software Engineer; 140-200k; 4/14/26;Open; 4/14/26;; https://jobright.ai/jobs/info/69d58183cdb525785fbd1754?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1776196326522_5298&utm_medium=email;;;
AWL; Software Engineer (.Net/C#); 80k; 4/14/26; Rejected; 5/14/2026;; https://www.glassdoor.com/job-listing/software-engineer-net-c-all-web-leads-JV_KO0,23_KE24,37.htm?jl=1010100551248&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-agejp-1010100551248&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jm6pln52kuqf800-85fbce7b0387aea7---6NYlbfkN0DOd9g0qWGiDZ4dyaZEMgwUkD6iKHbfO5Yr-acgA8psSfcuurKik9bPJAuApLPrTQvK1xnuDVVI7nAc7MBjg0jJfqfDOLCJhVfeKTppw28l5_p1KDn1o5KBGXdB4r00FJENC7aADsKeIDfjXp123jwSPAuHuRVTC5-i2zx0YLojd51fftHFBEQZPJmk5hNAOjOmdK_aGvNZF-J24hofOTC3RlriLz_JO7l8KuS-MFLTIp6d1-CG76_WqggWUuaKD6tvwGuGHM3K3dVg6AwqZwCpjLiyOSSPSY21TYF3DbBZUkhBl1dksFbeTuzvIlsLlRUF1jkkz1xasHuGVowZhEwD2n_drJB78of4ESUzBdVfMoRHIi29t79YDk6BLXp95O1RKfwlAwZ9gXbnN3zjjz34z-Rctk1T1KqZnmyOqYzt_2b5sjcioSBORiHPNUBTpAT6Iy-H6hP_AMbOIJrvJBtqSqTd4LQJBlKrCA9Pfx1f1fgPgLJ3Gzin5ZgCEknHWXdDQT1IaSla18M80pziN2CllzbfUux2X5mZHljDd4qem3vXm-cHkme9m8BzC4VD0t4FCZI45XcyFkDDxzSLNHXMd7YQYg0QyTL9pljwwE2cUi-Q2ggqRfGL1hIjuLO2sHptqPBdEZBH1YoslhcYiJ4xse4t2qAlmYmspRBaIGYhpfxmAVqd0hA9G9KowpC8kc7HOR3Wuca27Xbh53GH4V-E4cUnhWkfGvOJ2C0ZTL9TSmu-ziWtYnZRJ1reIo-3KgJl0ibgNpky6VCs6lWGLp9m0A9wdOgGQ0o%3D&cs=1_c06f4083&s=224&t=JA&pos=101&cpc=9908D8D4413DBB8A&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010100551248&ea=1&vt=e&cb=1776197230083&ctt=1776199099767&srs=EMAIL_JOB_ALERT&gdir=1;;;
Phillips; Remote Support Engineer (580040); 41-74/hr; 4/14/26; Rejected; 5/15/2026;; https://www.glassdoor.com/job-listing/remote-support-engineer-philips-JV_KO0,23_KE24,31.htm?jl=1010100399538&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-agejp-1010100399538&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6pln52kuqf800-8ef5cbe4d071d917&cs=1_fe48f729&s=224&t=JA&pos=103&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010100399538&vt=e&cb=1776197230076&ctt=1776199107030&srs=EMAIL_JOB_ALERT&gdir=1;;;
Ethos Life; Software Engineer; 96-169k; 4/14/26; Rejected; 5/15/2026;; https://www.glassdoor.com/job-listing/software-engineer-ethos-life-JV_KO0,17_KE18,28.htm?jl=1010099433091&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-agept-1010099433091&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6pln52kuqf800-49480def49a2bcd0&cs=1_e1c5919b&s=224&t=JA&pos=106&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010099433091&vt=e&cb=1776197230077&ctt=1776199127651&srs=EMAIL_JOB_ALERT&gdir=1;;;
VSP Vision; Senior Systems Engineer; 84-142k; 4/14/26; Rejected; 5/15/2026;; https://www.glassdoor.com/job-listing/senior-systems-engineer-vsp-global-JV_KO0,23_KE24,34.htm?jl=1010099716237&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos7-agept-1010099716237&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6pln52kuqf800-3af010bb421ab675&cs=1_117ddec5&s=224&t=JA&pos=107&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010099716237&vt=e&cb=1776197230078&ctt=1776199135449&srs=EMAIL_JOB_ALERT&gdir=1;;;
Merative; Technical Support Engineer I; 54-80k; 4/14/26;Open; 4/14/26;; https://www.glassdoor.com/job-listing/technical-support-engineer-i-merative-JV_KO0,28_KE29,37.htm?jl=1010100308107&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-agejp-1010100308107&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6pln52kuqf800-c68f237dcb10e27e&cs=1_3c2de314&s=224&t=JA&pos=109&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010100308107&vt=e&cb=1776197230080&ctt=1776199149883&srs=EMAIL_JOB_ALERT&gdir=1;;;
