Company;Position;Rate;ApplicationDate;Status;StatusDate;Comment;Link
Versant Media (Orlando, FL); Software Engineer, Backend - Fandango; 72-131k; 3/9/26;Open; 3/9/26;; https://www.glassdoor.com/job-listing/software-engineer-backend-fandango-versant-media-JV_IC1154247_KO0,34_KE35,48.htm?jl=1010057443203&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos9-age2d-1010057443203&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7pmh9ck8gt800-b055d25e510f862a&cs=1_142ef48a&s=224&t=JA&pos=109&ja=388890994&guid=0000019ccf77bca0ab0e4ec195c377da&jobListingId=1010057443203&ea=1&vt=e&cb=1773009585763&ctt=1773062788868&srs=EMAIL_JOB_ALERT&gdir=1
Imaging Healthcare Specialist; Solutions Engineer; 100-115k; 3/9/26;Open; 3/9/26;; https://www.glassdoor.com/job-listing/solutions-engineer-imaging-healthcare-specialists-JV_KO0,18_KE19,49.htm?jl=1010051984233&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos1-age5d-1010051984233&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jj7haqu2l6jq80h-36db93c3f281e491---6NYlbfkN0DGsmOAQZ8xNGIxKtpl0SKH7QMWvxHDdIRMuauEB4PVhp743Re478j_dlgq2Jl2thN8FPKXAVbaQi_qn12hOqqmAdXU2JMvmMYjIWbTqPMHX_jhrqyGVNDGxMPW_0Y_cno9gYvyx65Ubkgo6lOI6wykqXTjpeyoEf8eb2pFC4e04tkW_ij4PavMreLwxvzKsyXO9iQSnuVOLaSzQeSJOzGczfa7KAx_4ItAIOT1OXemTrhLv2o0ymkUBjbxPahgH8LC7RNnV4XEKJG_rvyGnGckWChXYLEi13QL6BU60Aw0SeERzbJIbW-URWuz2bOtOPxhdQ-WG-Z-XJ45EgyWQm51qnlwHmswRGW5p9v_ED_COTCTrXVZcbFTJQBW2zZje7N78hrybkAcc3nzBYBZodk8InooynSWxz8pBdjY2iWrusQLzUG28pfYH7v59a3LF_52GH9CljnvYd2i4jZ9xJV9Gi5XUaNr9EajM5Mx-bDmzwOfDzhF8H_Fj6r27fbcXvd13Mqo36EIZnDq9HToNhYgifqqKeJWW4iL2tkh9klJ_WqTB9t_VUj1Cuszir7l_qz96X90FVetNUc0ERJYXm7IeuXtla1PG93DbI-mDYse3R1ZSWXH-ruRarIbGFTO3hRENaFp_35-TPHNmgyaHdi8v8qGjPlzjVQbonuB7FP-OsvFrgRAuhMQK5agqDfdhGToLHwkCj8lRBU71ujoQMAINkMERB4PEqL3XF1EC7SKzwT1ctaxJDBX4kH64FO9DJFU56ebj6rvuRdXm-1hY1nVENdRHzWxvfmCrMBdnHz6fn4hvMqOs9sK7Y5nKcgFPPhYXYnxouXIBA%3D%3D&cs=1_17005c6a&s=224&t=JA&pos=101&cpc=F7A2269C793D5877&ja=396299206&guid=0000019cced2f1aeaa135f3b92d4f595&jobListingId=1010051984233&vt=e&cb=1773000813810&ctt=1773062938233&srs=EMAIL_JOB_ALERT&gdir=1
Inspira Financial; Sr. Software Engineer (Remote); 107-137k; 3/9/26;Open; 3/9/26;;  https://www.glassdoor.com/job-listing/sr-software-engineer-remote-inspira-financial-trust-JV_IC1128935_KO0,27_KE28,51.htm?jl=1010055537719&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos12-age3d-1010055537719&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7haqu2l6jq80h-1733261c550fa238&cs=1_b2958ca6&s=224&t=JA&pos=112&ja=396299206&guid=0000019cced2f1aeaa135f3b92d4f595&jobListingId=1010055537719&vt=e&cb=1773000813810&ctt=1773063066479&srs=EMAIL_JOB_ALERT&gdir=1
Ncontracts (Nashville TN); Software Developer L3; 100-130k; 3/10/26; Rejected; 4/10/2026;; https://www.indeed.com/viewjob?jk=203ad6f751d5e263&tk=1jjb7d887i8jg801&from=jobi2a&advn=9898341762116514&adid=457049627&ad=-6NYlbfkN0BRBkllaHJVwV6NK27WAGSw39uvZW6oK4IY7SFQhP1CdmQrbKD338vvft2riLge1RUTplcCVNeqLAZ0pgZCcrPxpdP0Fh3IB0VgAf1HY0bDSwvU1rAcTNeBW8g_z8lkt_MWAqN_6ITJZl7J9U8twDNjYOIsPBSeD7LIvdfe3xJ1n9YVvSY_25jv2C9gtaV6GX4Blf20BCgo6Pvk7dnbbo7pqzGZpaYtO5ZPVypmCL5Wm5OUwVq3S3q0miyIkhKXpq03AmDSNB-POkg56eZwj1m534TwzcVQRLrHQgU4GpXR0-DofaEZgy4Y3_-4bnzkNv5AoSA5PnblFI6WUvCqKBBrDVjxzO_KcYtRsvzDOuxkMKJzyMyEuqER5q3s5nbZr26NmUzTIyOI0hS0J6gM-NhpJ-IYDEvcgQvY-uTAvyyL2qjyuwfJ87g1-TvzvYP_p58a_PEM6aAdmvgxqBM94IDdI6xby-QwHlBY191wJy0wcov9meCkozLxZ4FZ85h87rOgeqKyfsrXjTo3UEA_VAH4K90JzuH16795hvZ_llJsdNi9y8P9W1dgNoU2z0_WXY2ln07Xjae8k-Nd3w6ZrItHumRrqklO64BvQZ6pph0ERepuBN-oNLaS&sjdu=Eexil7JbRGDjQt2TP_ydZxOqLuoTkXDQZbMyJ7OLyscqHk2LBS1aUc_hmZtU679Qc0VOYcx-CPpq4uf9aVeI9BQudd0i53iOho8pLF_1O5o_W4WLwnqNPgbdgCh2S_Fn&acatk=1jjbr7f3322to001&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XIfRMWMxxOndA%3D%3D&jrtk=5-cmh1-1-1jjb76oa2ov98801-203ad6f751d5e263&xkcb=SoCg6_M3mrHc09AdyD0ZbzkdCdPP&xpse=SoDh6_I3mr-SOEgQZr0IbzkdCdPP&xfps=a2bf236b-82b8-4adb-8498-79df76d93fa6
ServiceTitan; Senior Software Engineer; 151-202k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/6933a1cda0dde7020e2efcce?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
Wex (R20593); Staff, Software Engineer; 141-173k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69af86447495006450940555?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
Sprintward; SDET C# .NET; 60/hr; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69af85206b21de023e60bb77?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
DNI (Delaware Nation Industries); .NET Developer - 305002A; ; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69aefa60dfaeda6ff5970176?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343979_2780&utm_medium=email
Peraton; Senior Software Engineer; 146-234k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69af5eae6b21de023e608652?utm_source=1121&imp_id=3673496432511879909__instant_push__1773101126321_5316&utm_medium=email
Novara; Senior Software Engineer; 130-150k; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69af56d36b21de023e608368?utm_source=1121&imp_id=3673496432511879909__instant_push__1773101126321_5316&utm_medium=email
Workiva; Staff Software Engineer (R1497); 139-207k; 3/10/26; Rejected; 4/10/2026;; https://www.glassdoor.com/job-listing/staff-software-engineer-workiva-JV_KO0,23_KE24,31.htm?jl=1010057738181&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos5-age3d-1010057738181&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jjad4fttl01c801-204e7d3be7c91807&cs=1_d4f70181&s=224&t=JA&pos=105&ja=388890994&guid=0000019cd49eaf6f8a8c554f8366a165&jobListingId=1010057738181&vt=e&cb=1773097074880&ctt=1773148965692&srs=EMAIL_JOB_ALERT&gdir=1
Crash Champions; Software Developer (FullStack); 135-145k; 3/10/26;Open; 3/10/26;; https://www.linkedin.com/jobs/view/4366212435/?trackingId=VONd03lna4eWGoy5UEm3tA%3D%3D&refId=TKA1D4CysJoRBroFRF4DwQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0qV2cte6eYWY81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4366212435_ssid_15257593100_fmid_mw6pip~mmjpq095~zn&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4366212435_ssid_15257593100_fmid_mw6pip~mmjpq095~zn-null-mw6pip~mmjpq095~zn-null-null&eid=mw6pip-mmjpq095-zn&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjQ4NmNjZDg0ODk5YWI4NzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThiN2NlZjA3YmZiY2JjMTZiZWI4MzA1ZDY5OTM3MDNlMjA0Y2NlMjNjM2YwN2JkZjcsMSwx
SAIC; Software Engineer; ; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69af2e8edfaeda6ff597432d?utm_source=1121&imp_id=3673496432511879909__instant_push__1773089975905_3081&utm_medium=email
PeopleFluent; Software Engineer; ; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69aee543dfaeda6ff596ea18?utm_source=1121&imp_id=3673496432511879909__instant_push__1773089975905_4365&utm_medium=email
Sayva Solutions; Senior Software Engineer; 140-160k; 3/10/26;Open; 3/10/26;; https://www.linkedin.com/jobs/view/4302528392/?trackingId=3UXNw13EEwhTac2Zknkgsw%3D%3D&refId=hZjAi4cnRanWaUOx%2BuQKTA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0y8lGmtnVYXY81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4302528392_ssid_15257593108_fmid_mw6pip~mmko0l1s~d&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4302528392_ssid_15257593108_fmid_mw6pip~mmko0l1s~d-null-mw6pip~mmko0l1s~d-null-null&eid=mw6pip-mmko0l1s-d&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjU4YWNlZDU0MTkwYWI4NjY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjM2IxODE1Y2Y4ZDc5YzY5NDRiNDY4ZGZhNjgxMzA0MjQ3YTkzYjA3OWI4OTc3ZmMsMSwx
Sirius Point; Sr. Integration Engineer; 125-150k; 3/10/26; Rejected; 4/10/2026;; https://www.glassdoor.com/job-listing/sr-integration-engineer-siriuspoint-JV_KO0,23_KE24,35.htm?jl=1010057540295&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos12-age3d-1010057540295&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jja4oneii9cg800-a476b32ebbd3f63e&cs=1_2e186792&s=224&t=JA&pos=112&ja=396299206&guid=0000019cd3f9ad338e5598b283658b0e&jobListingId=1010057540295&vt=e&cb=1773088300869&ctt=1773158686379&srs=EMAIL_JOB_ALERT&gdir=1
Dcode Talent LLC (Orlando FL); .Net Lead Developer; 60-79/hr; 3/10/26;Open; 3/10/26;; https://www.ziprecruiter.com/jobs/a/b?lk=S3nsdn4E-RLSqw_RoUuWPw&tsid=111000153
Lorven Technologies; Senior Developer - 100% Remote (64134); 5-73/hr; 3/10/26;Open; 3/10/26;; https://www.ziprecruiter.com/jobs/a/b?lk=qzIrplzRjdmBdIV9uiFcdg&tsid=111000153
Evolver; .Net Developer; 125-150k; 3/10/26;Open; 3/10/26;; https://www.ziprecruiter.com/jobs/a/b?lk=R7VpgAuMVr7tIUiHfUv6mw&tsid=111000153
Solution Street; C# .NET Core Architect; ; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69af14507495006450938157?utm_source=1121&imp_id=3673496432511879909__instant_push__1773084928744_3669&utm_medium=email
Motion Recruitment; .NET Developer / Microservices/ Knoxville, TN (Tegna?); 80-130k; 3/10/26;Open; 3/10/26;; https://motionrecruitment.com/tech-jobs/knoxville-/direct-hire/dot-net-developer-microservices-knoxville-tn/868042?utm_source=appcast&utm_medium=feed&utm_campaign=ziprecruiter
ReSound; Software Engineer (Glenview, IL) (Remote); 90-125k;3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69aef51774950064509363b4?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1773080948628_5041&utm_medium=email
Vista Applied Solutions Group Inc; Lead Dotnet Developer; ; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69aeda0274950064509337b7?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1773080948628_5041&utm_medium=email
Regal Cinemas, Inc; Software Engineer; ; 3/10/26;Open; 3/10/26;; https://www.ziprecruiter.com/co/Regal-Cinemas-Corporation/Jobs/-in-Knoxville,TN?lk=eSVP7xCosq31Sd1TnbM4KA&radius=50
Experis (Mayfield OH); IT Software Dev Test SR; 68.57/r; 3/10/26; Rejected; 4/10/2026;; https://www.indeed.com/viewjob?jk=e234800798e5961f&q=c%23&l=Remote&tk=1jjbkib3egdln8a6&from=web&advn=7107834286822887&adid=444122158&ad=-6NYlbfkN0AEFElgJvH0khGA9zFQnp2BxzQ0kZOw7TdbpWENTeb18Hk82MYBYUAF7ONnkexcjBIflEWhAw5Jq5IyoqcfGW8rZ0U15t9PfJ-99DQtRN5YNxyzyYBptcEHMX_8oLDamLyR0Recs9fhSst-7nuTfo5cMAdNEfek72Ttj76AKsUQywhi2iaESb_4VHaFEbuGERyOUlVglfWWARYXEC8o6_lCP-21NCkWL9dj8BWiXqoqyDybVfWnW3Gf9w2qAkIKWAgG0bvJsqg4XvQz6jFINR36aJ0ku9wp4fpEkJN10tkXqihhhxl4aCHU3W4UPZUlA0jvmkMVDUbVxherU6fEWusxOuPHV3OOIkuor3FS3OeKNBzeQ9K1TUszVXfeFqoJfsW2MNhLXLn26N4bUYPAJIj7jSvemer6vHzS88j_q2uBZVSUhjRTiBPGkTgbitXFZ3m0XW3UjYL1tfF8TcCFubN6k9HJqumKxyU-2uWErx4GbIvwEu4FIzAJPaY83XSqJi2eElYDSB2nl9j7BdxwG_g9W76IFKpBAzajV13r4czAxA%3D%3D&sjdu=i6xVERweJM_pVUvgf-MzuahU3L03vVlm8tUVyaiMNN22MkadPjCOhKNcqWBenvUSCKsC-D7o0huJdrztjnO7FUYHlijytFJWtDQ3VYDbH2M&acatk=1jjbknfqogf9b802&pub=4a1b367933fd867b19b072952f68dceb&camk=ethIe0s0hed4pI8YCliZWw%3D%3D&xkcb=SoAN6_M3mrhGsuyLDh0DbzkdCdPP&xpse=SoDM6_I3mrhSIZSLLx0PbzkdCdPP&xfps=834bdad6-4b5f-4120-81c9-0014de489840&vjs=3
Tuesday Health (Charlotte NC); Software Engineer; ; 3/10/26;Open; 3/10/26;; https://www.indeed.com/viewjob?jk=8cee81878df5c881&tk=1jjbkib3egdln8a6&from=serp&vjs=3
Akidev Corporation; Senior .Net Full Stack Engineer (26-00078); ; 3/10/26;Open; 3/10/26;; https://www.dice.com/job-detail/6c13c2b2-605b-4ed8-8084-231467683617
Motion Recruitment Partners (Remote PA), LLC; .NET/SAP Integrations Developer; 130-140k; 3/10/26;Open; 3/10/26;; https://www.dice.com/job-detail/070d13f8-41c9-4129-83cd-0e25b908dde7
Kforce Technology Staffing (Remote - Boston, MA); .Net Developer; 55-65/hr; 3/10/26;Open; 3/10/26;; https://www.dice.com/job-detail/cfa413b6-25d2-4547-baf8-677fb92add7e
ORNL; System Engineer for Classified Networks (15923); ; 3/10/26; Rejected; 4/10/2026;; https://jobs.ornl.gov/job/Oak-Ridge-Systems-Engineer-for-Classified-Networks-TN-37830/1363093900/
Y12; Solution Architect (18694); ; 3/10/26; Rejected; 4/10/2026;; https://career-hcm03.ns2cloud.com/career?career%5fns=job%5flisting&company=CNSHCM03&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=18694&selected_lang=en_US&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=America/New_York&_s.crb=FDyokSZVN2A9cAXFKX4asBFDSZKIY72Do10k9Wu%2fTeY%3d
Installation Made Easy, Inc; Senior Software Engineer; ; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69b05918dfaeda6ff59a1060?utm_source=1121&imp_id=3673496432511879909__instant_push__1773165857107_3736&utm_medium=email
Tilt; Senior Software Engineer, Backend; ; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/6905231dff462851feffad2c?utm_source=1121&imp_id=3673496432511879909__instant_push__1773165857107_3736&utm_medium=email
Continuous; Software Engineer I - C# .NET; ; 3/11/26;Open; 3/11/26;; https://www.linkedin.com/jobs/view/4382444543/?trackingId=&refId=&midToken=AQE_3XQkBAKpjA&midSig=1sk0pYAefTZc81&trk=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job&trkEmail=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job-null-mw6pip~mmm25e07~ab-null-null&eid=mw6pip-mmm25e07-ab&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjY4Y2NhZDY0OTkxYWY4NjZjN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjMmZjZGM0ZmE1Y2Y5YjEzMzdjMzI5ZjMwMTlmMzE0ZTNlNzA5ZTI3MjM4NTZkNzMsMSwx
CBTS; Back End Developer (C#); ; 3/11/26;Open; 3/11/26;; https://www.linkedin.com/jobs/view/4382443579/?trackingId=&refId=&midToken=AQE_3XQkBAKpjA&midSig=1sk0pYAefTZc81&trk=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job&trkEmail=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job-null-mw6pip~mmm25e07~ab-null-null&eid=mw6pip-mmm25e07-ab&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjY4Y2NhZDY0OTkxYWY4NjZjN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjMmZjZGM0ZmE1Y2Y5YjEzMzdjMzI5ZjMwMTlmMzE0ZTNlNzA5ZTI3MjM4NTZkNzMsMSwx
Centrus Energy; Sr. Software Engineer; 99-150k; 3/11/26; Rejected; 4/10/2026;; https://eese.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/463
CACI International Inc.; ASP.Net Web Forms Developer; 82-172k; 3/11/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69b075f9dfaeda6ff59a5105?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1773213567394_8967&utm_medium=email
Pepperdine University; Developer, Application Development; 70-76k; 3/11/26;Open; 3/11/26;; https://www.linkedin.com/jobs/view/4381786551/?trackingId=AaSk93sMe6ZqcIKYN7HtiQ%3D%3D&refId=BLvfeKpMQUAkCX79AwHYMQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=1Fnyy_8rEsZs81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4381786551_ssid_14583149764_fmid_mw6pip~mmm3gfyl~7&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4381786551_ssid_14583149764_fmid_mw6pip~mmm3gfyl~7-null-mw6pip~mmm3gfyl~7-null-null&eid=mw6pip-mmm3gfyl-7&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjY4Y2M4ZDk0MzlhYTk4YTZmN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkNGY5ZGU2ZmExY2RiMTIwYzU4MDM5OWU3M2U0YWVlNmRmZDNjN2IyZmUyZDI3OGUsMSwx
New American Funding (NAF); Software Development Engineer II; 125-150k; 3/11/26; Rejected; 4/11/2026;; https://jobright.ai/jobs/info/69b0eb3a0b2db6275c05d7b2?utm_source=1121&imp_id=3673496432511879909__instant_push__1773203595830_3057&utm_medium=email
Alpha Omega; Sr .Net/Classic ASP Developer; 115-150k; 3/14/26;Open; 3/14/26;; https://jobright.ai/jobs/info/69a59f570da45516f16e4f28?utm_source=1121&imp_id=3673496432511879909__instant_push__1773502946827_2646&utm_medium=email
Envestnet; Lead Software Engineer; 139-231k; 3/14/26;Open; 3/14/26;; https://jobright.ai/jobs/info/6944ccb850bbaf765056e037?utm_source=1121&imp_id=3673496432511879909__instant_push__1773502946827_2646&utm_medium=email
Raval West; .NET Software Engineer; ; 3/14/26; Rejected; 4/14/2026;; https://jobright.ai/jobs/info/69b489b006c1ba00c54607ce?utm_source=1121&imp_id=3673496432511879909__instant_push__1773502946827_9819&utm_medium=email
AssistRx; Senior Software Developer /Software Developer (Full Stack, .NET Core); ; 3/14/26;Open; 3/14/26;; https://www.linkedin.com/jobs/view/4384266549/
Leidos; Sr. Full Stack Developer - .Net/C#; 108-195k; 3/14/26;Open; 3/14/26;; https://jobright.ai/jobs/info/69b4788506c1ba00c545e976?utm_source=1121&imp_id=3673496432511879909__instant_push__1773502946827_9819&utm_medium=email
Symetra; Software Engineer II - Remote; 97-161k; 3/14/26; Rejected; 4/14/2026;; https://www.glassdoor.com/job-listing/software-engineer-ii-remote-symetra-financial-JV_KO0,27_KE28,45.htm?jl=1010064607379&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos4-age1d-1010064607379&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jjmcdhsbg35t800-aa29cbf08526b306&cs=1_1b8de7e0&s=224&t=JA&pos=104&ja=378462087&guid=0000019ceca71d3f9944f36e9e1d8642&jobListingId=1010064607379&vt=e&cb=1773498976420&ctt=1773503881504&srs=EMAIL_JOB_ALERT&gdir=1
HCS; Senior Software Developer; ; 3/14/26; Rejected; 4/14/2026;; https://www.glassdoor.com/job-listing/senior-software-developer-hcss-JV_KO0,25_KE26,30.htm?jl=1010064165955&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos8-age1d-1010064165955&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jjmcdhsbg35t800-09a1603c7103c6a3&cs=1_3ecd6722&s=224&t=JA&pos=108&ja=378462087&guid=0000019ceca71d3f9944f36e9e1d8642&jobListingId=1010064165955&vt=e&cb=1773498976421&ctt=1773503942905&srs=EMAIL_JOB_ALERT&gdir=1
Purple Drive Technologies; .NET Developer (Blazor UI & API Integration); 46-59/hr; 3/14/26;Open; 3/14/26;; https://www.ziprecruiter.com/jobs-search?days=5&lk=PTSEYQTszT7kwsdTEFzxkA&location=Knoxville%2C+TN&lvk=X1irqlfV0EOGPZ2HUwA64w.--NvErZ254s&radius=50&refine_by_employment=employment_type%3Aall&refine_by_location_type=&refine_by_salary=&refine_by_salary_ceil=&search=.net
Clayton Homes; Software Engineer III; 101-134k; 3/14/26; Rejected; 4/14/2026;; https://www.glassdoor.com/job-listing/software-engineer-iii-clayton-careers-JV_IC1144400_KO0,21_KE22,37.htm?jl=1010065374229&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos1-agept-1010065374229&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jjl1e85v2jr6000-1daf049953fdffb5&cs=1_b89656cd&s=224&t=JA&pos=101&ja=377506142&guid=0000019ce9dc8242b45628584ce133a9&jobListingId=1010065374229&vt=e&cb=1773453910462&ctt=1773504280825&srs=EMAIL_JOB_ALERT&gdir=1
Robert Half (Morristown NJ); Sr. Software Engineer (C#, Python, React, Azure, DevOps); 145-150k; 3/14/26;Open; 3/14/26;; https://www.dice.com/job-detail/86d8a285-ef5f-4644-a005-2c6535545cf7
Purple Hires; Mainframe Developer; ; 3/14/26;Open; 3/14/26;; https://www.dice.com/job-detail/07f5524a-1c4f-4a0c-880d-1f82de0e7ed6
Proactive Logic Consulting Inc; Senior .NET Consultant - EDI/834 & Eligibility Modernization; 75-110/hr; 3/23/26;Open; 3/23/26;; https://www.indeed.com/viewjob?jk=4ffd6f90a1019a15&tk=1jkd8e6uhpqmf801&from=jobi2a&advn=6382315623421332&adid=457191068&ad=-6NYlbfkN0DZjMF8g6WBdmQ7lymhV5zj6LPzHvU8TZPHHNyjcCw8OkYhd9V3VfKcpVYm0eFnXDCUGFr_LjD0KwRsjs_SEJiiRiArAH0AMl0TbGUrmy2O7JIEV8d4fn4G_sdr8hPh81OdSNN3d-NLNkd8Q_h1khMmBmZqDHVJVQSlMg5zCLx1tmIbTZgrGnKY5BnJQKb8kKHAOevChG2Dg7_0mlAC3-6flzZ_92IKbAZ4p_vAgDTGR9Pf1bATxeHrOJ9SAjJaUOzVm2GcPs_8ywDkW7DHzW-8XNVxtI8jGBLkAlPgEw43ujejV-VG9rXoufS9PE_gqDgfxWwLZwEKEq76_TKMyvTT58z8OAr_xr4a09WrTKdrmgQIsiDX719KsQd8Xro306ySspZ4zAIs7AIpB4k_ycJWA7A-s9iZF0sSJh2NU17DeEc31Hp4XyZK_-34cGD7E_PmOs2OKU7gQiwjQ6jqaR3JbLCdgV-EHZMvEmmqdbguV0eRYXTqvcvpUBi8E1jsCGY99V-Vze9QxY44cNexOe1OX9uZUbZx20zCMn4I7MxkCsQb8X6flhXnCuz2f5XyvFrtRywgtH6sx-AUMA9Cda-ZSQeG3iSM0GID_3vGwz6FzPdibvblRRpM&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XIRTJZsWR7q4g%3D%3D&jrtk=5-cmh1-1-1jkd8e63giako805-4ffd6f90a1019a15&xkcb=SoCm6_M3lNY3P9b3oh0ebzkdCdPP&xpse=SoCm6_I3lNd2aSSenJ0PbzkdCdPP&xfps=fbea7be9-e2d0-4737-a7ec-f186f65a899b
